data,ticker,abertura,maxima,minima,fechamento,fechamento_ajustado,volume
2021-01-04,ABEV3,15.79,15.85,15.38,15.48,11.77,17835200
2021-01-04,B3SA3,20.71,20.86,20.21,20.33,16.38,25275300
2021-01-04,BBDC4,22.75,22.75,21.7,21.84,14.76,48196357
2021-01-04,ITUB4,28.23,28.23,27.22,27.27,19.45,35517057
2021-01-04,MGLU3,225.01,227.86,221.54,224.48,215.74,2885783
2021-01-04,PETR4,28.65,29.18,28.53,28.91,8.05,74719700
2021-01-04,VALE3,89.35,91.48,88.85,91.46,51.42,37865500
2021-01-04,WEGE3,37.92,38.19,37.25,37.31,33.06,7219800
2021-01-05,ABEV3,15.37,16.02,15.23,15.81,12.02,37105800
2021-01-05,B3SA3,20.22,20.65,19.89,20.37,16.42,29802900
2021-01-05,BBDC4,21.65,21.82,21.22,21.69,14.67,47107478
2021-01-05,ITUB4,27.12,27.41,26.63,27.1,19.32,32007023
2021-01-05,MGLU3,223.59,224.3,216.82,220.56,211.97,2855001
2021-01-05,PETR4,28.9,30.18,28.24,30.04,8.37,95181100
2021-01-05,VALE3,91.46,93.0,90.52,93.0,52.28,34300300
2021-01-05,WEGE3,37.33,39.6,37.0,39.6,35.09,16633600
2021-01-06,ABEV3,15.66,16.23,15.63,16.13,12.26,28371600
2021-01-06,B3SA3,20.37,20.42,19.68,20.03,16.15,51422400
2021-01-06,BBDC4,21.73,22.71,21.71,22.41,15.16,73317409
2021-01-06,ITUB4,27.34,28.3,27.18,27.89,19.89,48789132
2021-01-06,MGLU3,219.58,219.67,208.62,208.98,200.84,5814989
2021-01-06,PETR4,30.16,30.9,30.05,30.1,8.38,96562500
2021-01-06,VALE3,94.98,96.35,94.4,96.05,54.0,53722500
2021-01-06,WEGE3,39.69,41.74,39.06,40.65,36.02,21507400
2021-01-07,ABEV3,16.03,16.24,15.91,16.05,12.2,32540100
2021-01-07,B3SA3,19.93,20.68,19.91,20.59,16.6,27802200
2021-01-07,BBDC4,22.45,23.12,22.28,23.01,15.56,56545599
2021-01-07,ITUB4,27.93,29.18,27.8,28.98,20.66,52265063
2021-01-07,MGLU3,210.58,212.45,204.43,206.31,198.27,4731404
2021-01-07,PETR4,30.34,31.15,30.34,31.0,8.63,56171300
2021-01-07,VALE3,96.61,102.53,96.61,102.32,57.52,74541400
2021-01-07,WEGE3,41.19,42.51,40.92,42.33,37.51,15129600
2021-01-08,ABEV3,16.1,16.75,16.03,16.53,12.57,30188800
2021-01-08,B3SA3,20.66,21.28,20.5,20.9,16.84,41870100
2021-01-08,BBDC4,23.19,23.48,22.5,22.81,15.42,60861427
2021-01-08,ITUB4,29.06,29.51,28.62,28.97,20.65,59519322
2021-01-08,MGLU3,206.57,216.46,205.06,212.36,204.09,4938132
2021-01-08,PETR4,31.46,31.76,30.35,31.12,8.67,67136300
2021-01-08,VALE3,103.01,103.35,98.2,102.0,57.34,58562700
2021-01-08,WEGE3,42.47,44.99,42.42,44.89,39.78,17381000
2021-01-11,ABEV3,16.41,16.59,16.05,16.1,12.24,23618800
2021-01-11,B3SA3,20.67,20.89,19.48,20.04,16.15,52273200
2021-01-11,BBDC4,22.41,22.64,22.11,22.4,15.15,44169961
2021-01-11,ITUB4,28.66,28.86,28.0,28.31,20.19,35762351
2021-01-11,MGLU3,209.33,212.45,207.82,209.25,201.1,2991532
2021-01-11,PETR4,30.61,31.06,30.4,30.86,8.59,48744700
2021-01-11,VALE3,100.25,101.98,99.7,101.98,57.33,29267000
2021-01-11,WEGE3,44.49,45.22,43.13,43.51,38.56,15490800
2021-01-12,ABEV3,16.17,16.91,16.17,16.8,12.77,30598100
2021-01-12,B3SA3,20.16,20.72,19.86,20.62,16.62,34524900
2021-01-12,BBDC4,22.53,22.64,22.19,22.39,15.14,46567697
2021-01-12,ITUB4,28.4,28.64,28.26,28.4,20.25,37490176
2021-01-12,MGLU3,210.23,216.64,207.11,215.57,207.17,3933624
2021-01-12,PETR4,31.12,31.56,30.63,30.63,8.53,65691900
2021-01-12,VALE3,102.5,102.62,99.18,99.19,55.76,28598500
2021-01-12,WEGE3,43.72,45.42,43.29,45.03,39.91,12690600
2021-01-13,ABEV3,16.5,16.62,15.98,16.17,12.29,44066900
2021-01-13,B3SA3,20.65,20.8,20.35,20.7,16.69,27266400
2021-01-13,BBDC4,22.45,22.55,21.7,22.05,14.91,56170741
2021-01-13,ITUB4,28.4,28.71,27.59,27.93,19.92,48404705
2021-01-13,MGLU3,215.57,215.57,209.78,213.97,205.63,2875017
2021-01-13,PETR4,30.68,30.86,29.0,29.15,8.12,93826600
2021-01-13,VALE3,98.87,98.92,95.74,96.22,54.09,31658800
2021-01-13,WEGE3,45.1,45.96,44.4,45.14,40.0,13782800
2021-01-14,ABEV3,16.12,16.43,16.05,16.26,12.42,17183300
2021-01-14,B3SA3,20.8,21.0,20.43,20.55,16.57,23967600
2021-01-14,BBDC4,22.17,22.94,22.03,22.73,15.37,72262168
2021-01-14,ITUB4,28.26,29.07,27.95,28.76,20.51,31976092
2021-01-14,MGLU3,215.12,215.21,209.33,211.38,203.15,2868079
2021-01-14,PETR4,29.17,29.67,28.72,29.45,8.2,50745400
2021-01-14,VALE3,97.22,98.86,96.7,97.8,54.98,20809900
2021-01-14,WEGE3,45.58,45.72,44.8,44.94,39.82,8477000
2021-01-15,ABEV3,16.02,16.27,15.93,15.95,12.19,27742000
2021-01-15,B3SA3,20.2,20.46,19.78,19.94,16.07,50916300
2021-01-15,BBDC4,22.4,22.55,22.04,22.1,14.94,53980036
2021-01-15,ITUB4,28.29,28.59,27.67,27.68,19.74,42778794
2021-01-15,MGLU3,211.38,214.77,208.0,213.43,205.12,3677782
2021-01-15,PETR4,29.05,29.08,28.03,28.12,7.83,80673300
2021-01-15,VALE3,96.58,97.2,93.2,93.55,52.59,31712400
2021-01-15,WEGE3,44.62,45.47,42.71,43.08,38.18,14086600
2021-01-18,ABEV3,16.16,16.48,16.02,16.22,12.39,13979800
2021-01-18,B3SA3,20.03,20.48,19.97,20.27,16.34,24765600
2021-01-18,BBDC4,22.21,22.61,21.99,22.17,14.99,51058007
2021-01-18,ITUB4,27.94,28.18,27.48,27.54,19.64,21439532
2021-01-18,MGLU3,214.23,219.58,212.99,217.8,209.31,2723128
2021-01-18,PETR4,28.31,28.85,28.01,28.07,7.82,68855700
2021-01-18,VALE3,93.9,95.64,93.55,94.31,53.02,22667600
2021-01-18,WEGE3,43.42,46.15,43.4,46.1,40.86,14797400
2021-01-19,ABEV3,16.29,16.34,15.98,16.27,12.43,16980100
2021-01-19,B3SA3,20.33,20.53,19.99,20.2,16.28,21468000
2021-01-19,BBDC4,22.38,22.41,21.61,21.82,14.75,38386524
2021-01-19,ITUB4,27.79,27.9,26.96,27.21,19.4,30824398
2021-01-19,MGLU3,218.6,222.25,212.18,214.5,206.15,2360347
2021-01-19,PETR4,28.48,28.86,27.64,28.69,7.99,61656000
2021-01-19,VALE3,94.5,94.57,91.9,94.06,52.88,27155400
2021-01-19,WEGE3,46.46,46.93,44.53,44.8,39.7,13788600
2021-01-20,ABEV3,16.32,16.39,15.9,16.02,12.24,18321500
2021-01-20,B3SA3,20.28,20.45,19.83,20.0,16.12,24922500
2021-01-20,BBDC4,21.98,22.0,21.31,21.36,14.45,41861039
2021-01-20,ITUB4,27.41,27.45,26.58,26.76,19.08,32848502
2021-01-20,MGLU3,215.39,227.42,214.86,226.44,217.62,5398535
2021-01-20,PETR4,28.95,29.12,28.11,28.21,7.86,60306200
2021-01-20,VALE3,95.0,95.14,90.83,92.32,51.9,20480000
2021-01-20,WEGE3,45.28,45.71,44.21,44.35,39.3,7016400
2021-01-21,ABEV3,15.95,16.07,15.49,15.61,11.93,23062400
2021-01-21,B3SA3,20.0,20.3,19.35,19.37,15.61,34180200
2021-01-21,BBDC4,21.41,21.5,20.86,21.06,14.24,43414921
2021-01-21,ITUB4,26.76,26.88,26.17,26.4,18.82,39282922
2021-01-21,MGLU3,226.26,228.49,221.36,227.06,218.22,3708968
2021-01-21,PETR4,28.02,28.4,27.51,27.55,7.67,41284900
2021-01-21,VALE3,92.3,96.1,92.14,93.36,52.48,25983400
2021-01-21,WEGE3,44.5,44.71,43.26,43.83,38.84,8450600
2021-01-22,ABEV3,15.42,15.55,14.95,15.15,11.57,36117500
2021-01-22,B3SA3,19.16,19.7,18.94,19.52,15.73,39767700
2021-01-22,BBDC4,20.62,20.98,20.51,20.67,13.98,49504004
2021-01-22,ITUB4,25.82,26.01,25.58,25.83,18.42,41696212
2021-01-22,MGLU3,223.85,234.28,223.59,231.51,222.5,4827679
2021-01-22,PETR4,26.93,27.24,26.56,27.09,7.54,51181900
2021-01-22,VALE3,91.99,93.81,90.99,93.17,52.38,25814300
2021-01-22,WEGE3,43.28,44.83,43.0,44.49,39.42,12025000
2021-01-26,ABEV3,15.21,15.69,15.19,15.4,11.77,28714100
2021-01-26,B3SA3,19.45,19.87,19.27,19.77,15.93,38531100
2021-01-26,BBDC4,20.64,21.18,20.07,20.17,13.64,70337058
2021-01-26,ITUB4,25.59,26.35,24.84,24.93,17.81,57774842
2021-01-26,MGLU3,233.83,241.14,228.66,229.38,220.44,4992713
2021-01-26,PETR4,27.25,27.97,26.82,27.0,7.52,64514600
2021-01-26,VALE3,92.99,94.16,91.36,91.75,51.58,24921600
2021-01-26,WEGE3,44.49,45.6,44.22,44.47,39.41,10328600
2021-01-27,ABEV3,15.4,15.59,15.17,15.4,11.77,27437800
2021-01-27,B3SA3,19.66,19.96,19.57,19.67,15.86,31539900
2021-01-27,BBDC4,20.08,20.79,19.92,20.46,13.84,79338490
2021-01-27,ITUB4,24.81,25.59,24.59,24.93,17.81,48685803
2021-01-27,MGLU3,229.11,235.08,225.81,229.73,220.79,5045217
2021-01-27,PETR4,26.81,28.17,26.53,27.4,7.63,68337800
2021-01-27,VALE3,90.39,91.18,88.2,89.2,50.15,32419700
2021-01-27,WEGE3,44.49,45.49,43.95,44.35,39.3,12126200
2021-01-28,ABEV3,15.39,15.76,15.26,15.54,11.87,20208100
2021-01-28,B3SA3,19.67,20.47,19.63,20.43,16.47,27892800
