data,ipca_mes_pct,selic_mes_pct,dolar_medio,dolar_fim_mes
2021-01-01,0.25,0.15,5.3562,5.4759
2021-02-01,0.86,0.13,5.4165,5.5302
2021-03-01,0.93,0.2,5.6461,5.6973
2021-04-01,0.31,0.21,5.5621,5.4036
2021-05-01,0.83,0.27,5.2911,5.2322
2021-06-01,0.53,0.31,5.0319,5.0022
2021-07-01,0.96,0.36,5.1567,5.1216
2021-08-01,0.87,0.43,5.2517,5.1433
2021-09-01,1.16,0.44,5.2797,5.4394
2021-10-01,1.25,0.49,5.54,5.643
2021-11-01,0.95,0.59,5.5569,5.6199
2021-12-01,0.73,0.77,5.6514,5.5805
2022-01-01,0.54,0.73,5.5341,5.3574
2022-02-01,1.01,0.76,5.1966,5.1394
2022-03-01,1.62,0.93,4.9684,4.7378
2022-04-01,1.06,0.83,4.758,4.9191
2022-05-01,0.47,1.03,4.955,4.7289
2022-06-01,0.67,1.02,5.0492,5.238
2022-07-01,-0.68,1.03,5.3681,5.1884
2022-08-01,-0.36,1.17,5.1433,5.179
2022-09-01,-0.29,1.07,5.237,5.4066
2022-10-01,0.59,1.02,5.2503,5.257
2022-11-01,0.41,1.02,5.2746,5.2941
2022-12-01,0.62,1.12,5.2424,5.2177
2023-01-01,0.53,1.12,5.2007,5.0993
2023-02-01,0.84,0.92,5.1717,5.2078
2023-03-01,0.71,1.17,5.2115,5.0804
2023-04-01,0.61,0.92,5.0197,5.0007
2023-05-01,0.23,1.12,4.9828,5.0959
2023-06-01,-0.08,1.07,4.8516,4.8192
2023-07-01,0.12,1.07,4.8008,4.7415
2023-08-01,0.23,1.14,4.9035,4.9219
2023-09-01,0.26,0.97,4.937,5.0076
2023-10-01,0.24,1.0,5.0648,5.0575
2023-11-01,0.28,0.92,4.8983,4.9355
2023-12-01,0.56,0.89,4.8972,4.8413
2024-01-01,0.42,0.97,4.9144,4.9535
2024-02-01,0.83,0.8,4.9644,4.9833
2024-03-01,0.16,0.83,4.9801,4.9962
2024-04-01,0.38,0.89,5.1291,5.1718
2024-05-01,0.46,0.83,5.133,5.2416
2024-06-01,0.21,0.79,5.389,5.5589
2024-07-01,0.38,0.91,5.542,5.6621
2024-08-01,-0.02,0.87,5.5526,5.6562
2024-09-01,0.44,0.84,5.5416,5.4481
2024-10-01,0.56,0.93,5.6241,5.7779
2024-11-01,0.39,0.79,5.8071,6.0535
2024-12-01,0.52,0.93,6.097,6.1923
2025-01-01,0.16,1.01,6.0218,5.8301
2025-02-01,1.31,0.99,5.7656,5.8488
2025-03-01,0.56,0.96,5.7468,5.7422
2025-04-01,0.43,1.06,5.7837,5.6608
2025-05-01,0.26,1.14,5.6674,5.7087
2025-06-01,0.24,1.1,5.5471,5.4571
2025-07-01,0.26,1.28,5.5285,5.6021
2025-08-01,-0.11,1.16,5.4469,5.4264
2025-09-01,0.48,1.22,5.3674,5.3186
2025-10-01,0.09,1.28,5.3855,5.3843
2025-11-01,0.18,1.05,5.3409,5.3338
2025-12-01,0.33,1.22,5.4531,5.5024
